block_number,block_timestamp,txid,out_btc,fee_btc,n_input_addresses,n_traced_in_label_range,n_patoshi_minted,patoshi_fraction,n_traced_above_label_range,n_untraced_already_circulating
4926,2009-02-19 23:50:35.000000 UTC,b52953f7104aa6ffab9391578fc34279ce221700acb2257859657b2901987c63,800,0,16,16,5,0.3125,0,0
5217,2009-02-22 10:32:25.000000 UTC,9fa5efd12e4bdba914bf1acd03981c6e31eabaa8a8bd85fc2be36afe5a787c06,200,0,4,4,1,0.2500,0,0
5217,2009-02-22 10:32:25.000000 UTC,bea2f18440827950003bfcc130d0a82ebff013cec3848cdc8cb1c06e15672333,50,0,1,1,0,0.0000,0,0
5219,2009-02-22 10:50:53.000000 UTC,0af02f1ec03ed31d187c4184fe56b889d92b1def2310681f43ec1a0d84365273,400,0,5,3,0,0.0000,0,2
5219,2009-02-22 10:50:53.000000 UTC,0f0fbcc18fd0d090ad3402574df8404cec1176bc000f9aa0dc19f8d832ff94db,400,0,1,0,0,,0,1
5807,2009-02-27 19:49:03.000000 UTC,cce68eb6b57daed6011d10bb717be3a9616153aca1dc785d33a0e7a7c96d9b11,1800,0,36,36,6,0.1667,0,0
5917,2009-02-28 22:13:34.000000 UTC,1ecd272fc854e5a1a241431411aad6e3aa74e77942b9a7c54c5c732eaf9732a1,350,0,7,7,0,0.0000,0,0
6156,2009-03-03 04:24:25.000000 UTC,2d7d4385db1b1c5f809931ccea31c76fdcbcc82ba81d15713b30e8aa03de82b5,250,0,5,5,1,0.2000,0,0
6156,2009-03-03 04:24:25.000000 UTC,2e8fa683ff6777b929d38d119dc7c1e15b6a6e78629487775c659fa53765498f,150,0,3,3,0,0.0000,0,0
6327,2009-03-04 19:28:11.000000 UTC,93010741e990f05723f4667a3ae7adcbdb220537dc6909580b1443c34c4bf3df,1200,0,24,24,2,0.0833,0,0
6343,2009-03-04 23:29:22.000000 UTC,fac995ec5fdbb948c10aba4762c78663c38c312f43fcb91551b5770b6794bf67,50,0,1,1,0,0.0000,0,0
