block_number,block_timestamp,txid,input_count,output_count,in_btc,out_btc,fee_btc,outputs_btc,out_addresses,in_addresses
1454,2009-01-23 22:10:57.000000 UTC,8ed5a0af151cdbc8c0c546cde29334f15b4472bba105394a1221a7f088246846,6,1,300,300,0,300.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1D1FUseiHmbRPDCRvExrBX3C3BtFxGimMz | 125JeyLib4bzAkqFbcidrNqwcty6S51yCu | 1BtNBoKGgME9HCkjeHNJ6FrsZaAMTLCWED | 1DGdXqZeQsMKwfEpbAuvPHt2d72jfk1VWG | 1L4Ad5A1xw15cr6wkmEpHBYeMTSDEaVct4 | 1M79wfuR7Bjgeu4DgfSP8G6E5Mpx2hqUhb
1586,2009-01-24 13:56:43.000000 UTC,3a5c037f79eda4d61925529dd68951b92c11642b224f0ff3230c4a79f117e8f6,10,1,500,500,0,500.00000000,1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L,1AZBpyYUSWApQkKqsEDZ9mriWCZMArrgzR | 15aLEm1J4nZiLBEd5MmdRSj34MnF5GCaky | 1675n6xp1aQ53w8kPJaghB749v5ekeyVGb | 1J6AgPccDGJ9NdGD9RjnMM8zPvWmcMRpEX | 1MDDHENF1xDvN2C1a2HzvC3nuthsjXyLjL | 1Ewy2mCVfDwGRBEDbFzHTMsDiCxTGLx72A | 12BpQhir1LnPLoENAGAqwfW2X82kP1PCtw | 15dnC28mA2tnbSbyjtqVRVtcmXwroDSrJQ | 1CLK9m1s3D9Lc2oQprZ3jNdz9ikcdbH6vb | 1JNoSuNB7PVtMyeAy6nkNNcbubo4cDPPAS
1767,2009-01-25 11:27:21.000000 UTC,1c6861aa429c0c8b3a5be978160a2b5671c5cbb1d8194bc8d54fa2da154f3d8c,1,1,50,50,0,50.00000000,1CG7YVf2msVU8on6zrAUpfoqzD3avUDiWS,114Y2Hz7uDHmyK5iKhAzMbPZrHbYnNXqAX
1945,2009-01-26 21:09:21.000000 UTC,5559270f3e12c0b9136cb6caf147322669394d2c9b90fd7a363f3e685e7c2407,20,1,1000,1000,0,1000.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1MUKXPFrGZNWeJApikyeK8VoFVTqmDLDHB | 14zHfSpU4kbiqwqAHPm669SKe6HSbyKQkB | 1PgoNWcb45PdU5LkvVq5WnMmjUD2ameDsL | 17nKiX7HzHZeEs3hcHKZSJaSXQ3xPKrJrC | 1PAohTUrR2HTMRsmNbmdcL5es7CJuzvj6n | 1D6QRvDR83RQnLR9GdAD11MPwAYnbNKLQt | 1P7wSgzChCSmVLp41Yp7HVE624T5ypEE8P | 1ABNbec6n9hrevc6rNnDKqYmSr9KHCue7D | 1M6HdzAHLDBWoHPt7qufedD5Him3y5Fpou | 1ChPe5pz2bwvK4E51NEzu81Sg4zLSXoN6c | 17crXb2VbFYSRqWqqywyNUnfjB9Pb8GXEJ | 19NvQv8SBtfWiLqjdW7JUzZr78TwEDkz4F | 1JFmQAS8du4V8JvZBpwXvMnzyhEXkC4b7N | 1BGKfxaa8rMtKAsNXGMmAXmCeUFpe7pMxB | 114rh9hzgStCRbXWuuahe87nQdkY1Ebncr | 1LXgpvzVXBeiPaX8HLynZmib3968fiZHu7 | 1GaVH6stCc4bwYkWe6VcRM24HHSszq85a4 | 1BENJudbbZ8dfTwFtCLuJNWMTtBLE2bZa | 13yawe8cxT5xaYLQ39rAnbUUxeFppNrBpM | 1B2xDgdCGkr5UyZuiVuYBXeyGScBJco3Ty
1967,2009-01-27 01:57:29.000000 UTC,a4318436c7edba2aa3db89614f2a5f32880e3883b91593707e1d089b42ae1fb7,3,1,150,150,0,150.00000000,1C3J4uWTdpc3NoJWsCqdpqEjSViyxRXkF,1KR2fsrzrU7FeBs8opYJmWwdi4SkgCorff | 1CG7YVf2msVU8on6zrAUpfoqzD3avUDiWS | 1XWbD7hRJfAUmdrVg7pTdCEr7tcrjCzEi
2277,2009-01-29 21:36:30.000000 UTC,0da3014156ed70f8274a968a2000840c5740254d98835d0690c65efa5f10912e,12,1,600,600,0,600.00000000,12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,1MHHjLCcUQvvEpn47yfvL2F2FTTiZmSwt2 | 1Eo32vpEPv8SZEQVN4ZuS9QzSMfbr8L4bM | 1Ciy18mnng6kY7MKJVdtWtVQ1a7nWEmZMA | 13Lw3LXCgovxkzLG6mGE1rLRMkbfKrzeig | 1GcqLQUtqnBr2Ah7ubwHSqdB7QZcDzQX2h | 19BBY3jRJZaEP6qMF2DRnkJXGfqdZDQ7Lx | 1tu8AqKF8FzUvWYaaGyYPpFtFyMWHWPCT | 17ATTgcpLLTCXx6AuUpoo6EGXDQexf1Jua | 1QhdLrHCki4hniFp5wd7SXy7Dk6cTWvux | 13AgD4FbYfjGhxe6shQAhZ7S7ZfvnhVVmo | 17X1kD35NaC4hveLReBJMPxQ4e2k8TKLtB | 14XybX98EZQpKpcxEZFYvCEV5S53dY8nax
2518,2009-01-31 19:08:32.000000 UTC,2ccc3f59d28c709770a8bc478b112e10feda4bf55197c2e48deaa0eb6bca0311,20,1,1000,1000,0,1000.00000000,17afxUJouat3fkaaQ9tZrDThxdkXGL4WrM,1Jy5dQmet2xg1Pk5VYZE2hSWu8StK6aQWZ | 14nELEgJL95NU3BKi5D734ysFuVUCEjLWg | 1AHJbmcNpaxrgwDc12XFXnUSfpED5ksSiH | 17LDnEt8ggVjH43QdjhZ4FhkXC9zXgk48b | 1HQkgckTBytqaGmwyQgqTU5aptuZ7qFiyp | 1CbDYwNDp5aA5FVmCf2Z95kjkMCgoBr2X8 | 1GSAXEQEW7st7prSuz89x6DjKEcLUFSDCJ | 1B2EqNLFj7hoSWJupZLQrGMd2unu8doTjc | 1AoWi2xSyQoWuxrYrdr1PPVi5PxA8caNGC | 1DCcZbNtttndh6tvoK8xRTB5BUMdfL51aL | 1BSgXqBzNHFfdqRHBPzLD23CFXpzhqpRrb | 1NdLg6FNKyFXyRfmFssW4DSgaWRzscYXUg | 14DFY3RsdrJ5U6CCgatYssM2gKAiyBm4mE | 18QQUbHJhyzFDVKhEHPhHFZF3qdBmp74eB | 1ADTuxdhYePCW9PEvkCKnib6jmbg6mKXdz | 19CkFSEiHB5UVah3fvZD17qk48m82TfAp8 | 1BoBh9JKnHVj1JAy2GS4LeA3yHyN6ra2qE | 12oRSUW6UVYNCUk8yyrFvbpbJw7uia31sA | 13evwJtdkEp2wcmv5xtqE7mF6pr5bFrbxw | 1DdhxvYwVrnUP4xcWaquUnmZ177HVeUT2L
2616,2009-02-01 16:25:12.000000 UTC,7d73200eac9b66ea105fe63378c69f5d68663f925297117ed178deaddb6fc3d5,2,1,100,100,0,100.00000000,1CHE5JRfc5mr8ZtVUP7nnsS5HC4bWcXoc6,1M7EFYL39BSxuHWmzTMpamyDZ3j2yAbmvK | 14pJ6BfHiPdYK6D7YMrqTJc6Y4KeXgRA8c
2754,2009-02-02 18:21:36.000000 UTC,4b96658d39f7fd4241442e6dc9877c8ee0fe0d82477e6014e1681d1efe052c8d,1,1,50,50,0,50.00000000,18jANvQ6AuVGJnea4EhmXiAf6bHR5qKjPB,1GEhNKRWcePnKDhAieuAAcW6FkwDNZqKX7
2812,2009-02-03 04:47:39.000000 UTC,00e45be5b605fdb2106afa4cef5992ee6d4e3724de5dc8b13e729a3fc3ad4b94,1,1,50,50,0,50.00000000,1AbHNFdKJeVL8FRZyRZoiTzG9VCmzLrtvm,1BEAp84rY4U2MJNmUkaF9BNavTEEG3ZSfd
